,key,weekday,day,month,date,rrp,new size_L,new size_M,new size_S,new size_XL,color_blau,color_rot,color_schwarz,brand_Nike,brand_adidas,category_10,category_16,category_7,subCategory_13.0,subCategory_14.0,subCategory_16.0,subCategory_22.0,new size_41,new size_42,new size_44,new size_43,units,avg_temp,median_temp,company_offer,holiday,sum_unit,price_daily_change,new_product
0,19671 39 1/3,6,1,10,2017-10-01,190.43,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,12.5625,12.5,0,0,0.0,0.0,0
1,19671 39 1/3,0,2,10,2017-10-02,190.43,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,13.3125,13.75,0,0,0.0,0.0,0
2,19671 39 1/3,1,3,10,2017-10-03,190.43,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,12.1875,12.5,0,1,0.0,0.0,0
3,19671 39 1/3,2,4,10,2017-10-04,190.43,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,10.75,10.75,0,0,0.0,0.0,0
4,19671 39 1/3,3,5,10,2017-10-05,190.43,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,11.75,11.5,0,0,1.0,0.0,0
5,19671 39 1/3,4,6,10,2017-10-06,190.43,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,9.9375,10.0,0,0,1.0,0.0,0
6,19671 39 1/3,5,7,10,2017-10-07,190.43,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,9.75,10.0,0,0,1.0,0.0,0
7,19671 39 1/3,6,8,10,2017-10-08,190.43,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,10.8125,10.5,0,0,1.0,0.0,0
8,19671 39 1/3,0,9,10,2017-10-09,190.43,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,10.4375,10.0,0,0,1.0,0.0,0
9,19671 39 1/3,1,10,10,2017-10-10,190.43,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,11.875,12.0,0,0,1.0,0.0,0
10,19671 39 1/3,2,11,10,2017-10-11,190.43,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,13.625,14.0,0,0,1.0,0.0,0
11,19671 39 1/3,3,12,10,2017-10-12,190.43,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,13.3125,13.5,0,0,1.0,0.0,0
12,19671 39 1/3,4,13,10,2017-10-13,190.43,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,13.6875,14.0,0,0,1.0,0.0,0
13,19671 39 1/3,5,14,10,2017-10-14,190.43,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,14.75,14.75,0,0,1.0,0.0,0
14,19671 39 1/3,6,15,10,2017-10-15,190.43,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,15.6875,15.75,0,0,1.0,0.0,0
15,19671 39 1/3,0,16,10,2017-10-16,190.43,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,17.0,16.75,1,0,1.0,0.0,0
