,date,key,release_d;ate;,u;nits,ne;w;_product
0,2017-10-01,10000;XL ;( ;158-170; ;),2017-10-01,0.0,0
1,2017-10-02,10000;XL ;( ;158-170; ;),2017-10-01,0.0,0
2,2017-10-03,10000;XL ;( ;158-170; ;),2017-10-01,0.0,0
3,2017-10-04,10000;XL ;( ;158-170; ;),2017-10-01,0.0,0
4,2017-10-05,10000;XL ;( ;158-170; ;),2017-10-01,0.0,0
5,2017-10-06,10000;XL ;( ;158-170; ;),2017-10-01,0.0,0
6,2017-10-07,10000;XL ;( ;158-170; ;),2017-10-01,0.0,0
7,2017-10-08,10000;XL ;( ;158-170; ;),2017-10-01,0.0,0
8,2017-10-09,10000;XL ;( ;158-170; ;),2017-10-01,0.0,0
9,2017-10-10,10000;XL ;( ;158-170; ;),2017-10-01,0.0,0
10,2017-10-11,10000; XL; (;158-17;0;),2017-10-01,0.0,0
11,2017-10-12,10000; XL; (;158-17;0;),2017-10-01,0.0,0
12,2017-10-13,10000; XL; (;158-17;0;),2017-10-01,0.0,0
13,2017-10-14,10000; XL; (;158-17;0;),2017-10-01,0.0,0
14,2017-10-15,10000; XL; (;158-17;0;),2017-10-01,0.0,0
15,2017-10-16,10000; XL; (;158-17;0;),2017-10-01,0.0,0
16,2017-10-17,10000; XL; (;158-17;0;),2017-10-01,0.0,0
17,2017-10-18,10000; XL; (;158-17;0;),2017-10-01,0.0,0
18,2017-10-19,10000; XL; (;158-17;0;),2017-10-01,0.0,0
19,2017-10-20,10000; XL; (;158-17;0;),2017-10-01,0.0,0
20,2017-10-21,10000; XL; (;158-17;0;),2017-10-01,0.0,0
21,2017-10-22,10000; XL; (;158-17;0;),2017-10-01,0.0,0
22,2017-10-23,10000; XL; (;158-17;0;),2017-10-01,0.0,0
23,2017-10-24,10000; XL; (;158-17;0;),2017-10-01,0.0,0
24,2017-10-25,10000; XL; (;158-17;0;),2017-10-01,0.0,0
25,2017-10-26,10000; XL; (;158-17;0;),2017-10-01,0.0,0
26,2017-10-27,10000; XL; (;158-17;0;),2017-10-01,0.0,0
27,2017-10-28,10000; XL; (;158-17;0;),2017-10-01,0.0,0
28,2017-10-29,10000; XL; (;158-17;0;),2017-10-01,0.0,0
29,2017-10-30,10000; XL; (;158-17;0;),2017-10-01,0.0,0
30,2017-10-31,10000; XL; (;158-17;0;),2017-10-01,0.0,0
31,2017-11-01,10000; XL; (;158-17;0;),2017-10-01,0.0,0
32,2017-11-02,10000; XL; (;158-17;0;),2017-10-01,0.0,0
33,2017-11-03,10000; XL; (;158-17;0;),2017-10-01,0.0,0
34,2017-11-04,10000; XL; (;158-17;0;),2017-10-01,0.0,0
35,2017-11-05,10000; XL; (;158-17;0;),2017-10-01,0.0,0
36,2017-11-06,10000; XL; (;158-17;0;),2017-10-01,0.0,0
37,2017-11-07,10000; XL; (;158-17;0;),2017-10-01,0.0,0
38,2017-11-08,10000; XL; (;158-17;0;),2017-10-01,0.0,0
39,2017-11-09,10000; XL; (;158-17;0;),2017-10-01,0.0,0
40,2017-11-10,10000; XL; (;158-17;0;),2017-10-01,0.0,0
41,2017-11-11,10000; XL; (;158-17;0;),2017-10-01,0.0,0
42,2017-11-12,10000; XL; (;158-17;0;),2017-10-01,0.0,0
43,2017-11-13,10000; XL; (;158-17;0;),2017-10-01,0.0,0
44,2017-11-14,10000; XL; (;158-17;0;),2017-10-01,0.0,0
45,2017-11-15,10000; XL; (;158-17;0;),2017-10-01,0.0,0
46,2017-11-16,10000; XL; (;158-17;0;),2017-10-01,0.0,0
47,2017-11-17,10000; XL; (;158-17;0;),2017-10-01,0.0,0
48,2017-11-18,10000; XL; (;158-17;0;),2017-10-01,0.0,0
49,2017-11-19,10000; XL; (;158-17;0;),2017-10-01,0.0,0
50,2017-11-20,10000; XL; (;158-17;0;),2017-10-01,1.0,0
51,2017-11-21,10000; XL; (;158-17;0;),2017-10-01,0.0,0
52,2017-11-22,10000; XL; (;158-17;0;),2017-10-01,0.0,0
53,2017-11-23,10000; XL; (;158-17;0;),2017-10-01,0.0,0
54,2017-11-24,10000; XL; (;158-17;0;),2017-10-01,0.0,0
55,2017-11-25,10000; XL; (;158-17;0;),2017-10-01,0.0,0
56,2017-11-26,10000; XL; (;158-17;0;),2017-10-01,0.0,0
57,2017-11-27,10000; XL; (;158-17;0;),2017-10-01,0.0,0
58,2017-11-28,10000; XL; (;158-17;0;),2017-10-01,0.0,0
59,2017-11-29,10000; XL; (;158-17;0;),2017-10-01,0.0,0
60,2017-11-30,10000; XL; (;158-17;0;),2017-10-01,0.0,0
61,2017-12-01,10000; XL; (;158-17;0;),2017-10-01,0.0,0
62,2017-12-02,10000; XL; (;158-17;0;),2017-10-01,0.0,0
63,2017-12-03,10000; XL; (;158-17;0;),2017-10-01,0.0,0
64,2017-12-04,10000; XL; (;158-17;0;),2017-10-01,0.0,0
65,2017-12-05,10000; XL; (;158-17;0;),2017-10-01,0.0,0
66,2017-12-06,10000; XL; (;158-17;0;),2017-10-01,0.0,0
67,2017-12-07,10000; XL; (;158-17;0;),2017-10-01,0.0,0
68,2017-12-08,10000; XL; (;158-17;0;),2017-10-01,0.0,0
69,2017-12-09,10000; XL; (;158-17;0;),2017-10-01,0.0,0
70,2017-12-10,10000; XL; (;158-17;0;),2017-10-01,0.0,0
71,2017-12-11,10000; XL; (;158-17;0;),2017-10-01,0.0,0
72,2017-12-12,10000; XL; (;158-17;0;),2017-10-01,0.0,0
73,2017-12-13,10000; XL; (;158-17;0;),2017-10-01,0.0,0
74,2017-12-14,10000; XL; (;158-17;0;),2017-10-01,0.0,0
75,2017-12-15,10000; XL; (;158-17;0;),2017-10-01,0.0,0
76,2017-12-16,10000; XL; (;158-17;0;),2017-10-01,0.0,0
77,2017-12-17,10000; XL; (;158-17;0;),2017-10-01,0.0,0
78,2017-12-18,10000; XL; (;158-17;0;),2017-10-01,0.0,0
79,2017-12-19,10000; XL; (;158-17;0;),2017-10-01,0.0,0
80,2017-12-20,10000; XL; (;158-17;0;),2017-10-01,0.0,0
81,2017-12-21,10000; XL; (;158-17;0;),2017-10-01,0.0,0
82,2017-12-22,10000; XL; (;158-17;0;),2017-10-01,0.0,0
83,2017-12-23,10000; XL; (;158-17;0;),2017-10-01,0.0,0
84,2017-12-24,10000; XL; (;158-17;0;),2017-10-01,0.0,0
85,2017-12-25,10000; XL; (;158-17;0;),2017-10-01,0.0,0
86,2017-12-26,10000; XL; (;158-17;0;),2017-10-01,0.0,0
87,2017-12-27,10000; XL; (;158-17;0;),2017-10-01,0.0,0
88,2017-12-28,10000; XL; (;158-17;0;),2017-10-01,0.0,0
89,2017-12-29,10000; XL; (;158-17;0;),2017-10-01,0.0,0
90,2017-12-30,10000; XL; (;158-17;0;),2017-10-01,0.0,0
91,2017-12-31,10000; XL; (;158-17;0;),2017-10-01,0.0,0
92,2018-01-01,10000; XL; (;158-17;0;),2017-10-01,0.0,0
93,2018-01-02,10000; XL; (;158-17;0;),2017-10-01,0.0,0
94,2018-01-03,10000; XL; (;158-17;0;),2017-10-01,0.0,0
95,2018-01-04,10000; XL; (;158-17;0;),2017-10-01,0.0,0
96,2018-01-05,10000; XL; (;158-17;0;),2017-10-01,0.0,0
97,2018-01-06,10000; XL; (;158-17;0;),2017-10-01,0.0,0
98,2018-01-07,10000; XL; (;158-17;0;),2017-10-01,0.0,0
