,pid,size,p;rice,date,key,weekday,day,mo;nth;,units,sum_unit,price_daily_change
0,19671,39;1/3,133.31,2017-10-01,19671;39;1/3,6,1,10,0.0,0.0,0.00
1,19671,39;1/3,133.31,2017-10-02,19671;39;1/3,0,2,10,0.0,0.0,0.0
2,19671,39;1/3,133.31,2017-10-03,19671;39;1/3,1,3,10,0.0,0.0,0.0
3,19671,39;1/3,133.31,2017-10-04,19671;39;1/3,2,4,10,0.0,0.0,0.0
4,19671,39;1/3,133.31,2017-10-05,19671;39;1/3,3,5,10,1.0,1.0,0.0
5,19671,39;1/3,133.31,2017-10-06,19671;39;1/3,4,6,10,0.0,1.0,0.0
6,19671,39;1/3,133.31,2017-10-07,19671;39;1/3,5,7,10,0.0,1.0,0.0
7,19671,39;1/3,133.31,2017-10-08,19671;39;1/3,6,8,10,0.0,1.0,0.0
8,19671,39;1/3,133.31,2017-10-09,19671;39;1/3,0,9,10,0.0,1.0,0.0
9,19671,39;1/3,133.31,2017-10-10,19671;39;1/3,1,10,10,0.0,1.0,0.0
10,19671,39;1/3,133.31,2017-10-11,19671;39;1/3,2,11,10,0.0,1.0,0.0
11,19671,39;1/3,133.31,2017-10-12,19671;39;1/3,3,12,10,0.0,1.0,0.0
12,19671,39;1/3,133.31,2017-10-13,19671;39;1/3,4,13,10,0.0,1.0,0.0
13,19671,39;1/3,133.31,2017-10-14,19671;39;1/3,5,14,10,0.0,1.0,0.0
14,19671,39;1/3,133.31,2017-10-15,19671;39;1/3,6,15,10,0.0,1.0,0.0
15,19671,39;1/3,133.31,2017-10-16,19671;39;1/3,0,16,10,0.0,1.0,0.0
16,19671,39;1/3,133.31,2017-10-17,19671;39;1/3,1,17,10,0.0,1.0,0.0
17,19671,39;1/3,133.31,2017-10-18,19671;39;1/3,2,18,10,0.0,1.0,0.0
18,19671,39;1/3,133.31,2017-10-19,19671;39;1/3,3,19,10,0.0,1.0,0.0
19,19671,39;1/3,133.31,2017-10-20,19671;39;1/3,4,20,10,0.0,1.0,0.0
20,19671,39;1/3,133.31,2017-10-21,19671;39;1/3,5,21,10,0.0,1.0,0.0
21,19671,39;1/3,133.31,2017-10-22,19671;39;1/3,6,22,10,0.0,1.0,0.0
22,19671,39;1/3,133.31,2017-10-23,19671;39;1/3,0,23,10,0.0,1.0,0.0
23,19671,39;1/3,133.31,2017-10-24,19671;39;1/3,1,24,10,0.0,1.0,0.0
